feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
ENSG00000012048	dex	untrt	0.879069423861435	0.0787179255594623	3.07613176646124e-05	0.0145962452318586	CPLM	1.99	8	8	0
ENSG00000033867	dex	untrt	0.67774446661046	0.0581606413791666	2.40638526284603e-05	0.0145962452318586	CPLM	1.99	8	8	0
ENSG00000011478	dex	untrt	-0.442961753520052	0.053706556153976	0.000171714228922241	0.022947268086382	CPLM	1.99	8	8	0
ENSG00000013293	dex	untrt	2.01074271026848	0.249067121328349	0.000193443777335149	0.022947268086382	CPLM	1.596	8	8	0
ENSG00000020577	dex	untrt	-0.806955690511659	0.0943481289220092	0.00014016800557304	0.022947268086382	CPLM	1.172	8	8	0
ENSG00000042286	dex	untrt	-0.455478537133291	0.0555222803205805	0.00017694325429797	0.022947268086382	CPLM	1.99	8	8	0
ENSG00000049323	dex	untrt	-0.43481888237311	0.0454381120464888	7.43991505625123e-05	0.022947268086382	CPLM	1.01	8	8	0
ENSG00000051108	dex	untrt	-0.477753108640971	0.0576421592762254	0.000167094430249113	0.022947268086382	CPLM	1.01	8	8	0
ENSG00000003402	dex	untrt	-0.787206821378448	0.108920047218778	0.00035586783388262	0.0283656921086962	CPLM	1.01	8	8	0
ENSG00000023909	dex	untrt	-0.826276165264349	0.114490873715212	0.000358681038255378	0.0283656921086962	CPLM	1.99	8	8	0
ENSG00000044090	dex	untrt	0.378766007522154	0.0519873991789796	0.000340578970870675	0.0283656921086962	CPLM	1.357	8	8	0
ENSG00000049246	dex	untrt	1.56188179877274	0.211492878118444	0.000316261197100748	0.0283656921086962	CPLM	1.179	8	8	0
ENSG00000008311	dex	untrt	-0.731571172957031	0.104961842998615	0.000433504591865732	0.0293854184057557	CPLM	1.99	8	8	0
ENSG00000009413	dex	untrt	-0.734843890077904	0.104125222853823	0.000405143509242005	0.0293854184057557	CPLM	1.99	8	8	0
ENSG00000008256	dex	untrt	-0.798109670785957	0.119547950032261	0.000546976720658757	0.034605393860344	CPLM	1.99	8	8	0
ENSG00000061337	dex	untrt	0.745076010833422	0.113783405988401	0.00060676780533547	0.0359889154539601	CPLM	1.99	8	8	0
ENSG00000008130	dex	untrt	-0.507111226263917	0.0822089860133169	0.000833621111153902	0.037467193035236	CPLM	1.99	8	8	0
ENSG00000010017	dex	untrt	-0.470620153255546	0.0779710862820019	0.000934847760962182	0.037467193035236	CPLM	1.99	8	8	0
ENSG00000013297	dex	untrt	1.26569668769724	0.204972777628108	0.000829075180395727	0.037467193035236	CPLM	1.353	8	8	0
ENSG00000019995	dex	untrt	-0.602987290780786	0.0968748387322712	0.000794833468694453	0.037467193035236	CPLM	1.467	8	8	0
ENSG00000031698	dex	untrt	0.410205498170313	0.0671510187306632	0.000877634250509039	0.037467193035236	CPLM	1.01	8	8	0
ENSG00000048707	dex	untrt	-0.416062717481907	0.0671970355716093	0.000817301996213869	0.037467193035236	CPLM	1.99	8	8	0
ENSG00000049089	dex	untrt	0.569145342549888	0.0924491930978296	0.000842424190331876	0.037467193035236	CPLM	1.99	8	8	0
ENSG00000064309	dex	untrt	1.17504733773629	0.196703592316172	0.00098701773011686	0.037467193035236	CPLM	1.99	8	8	0
ENSG00000065882	dex	untrt	-0.369423777049261	0.0618288731901336	0.000985940959926052	0.037467193035236	CPLM	1.99	8	8	0
ENSG00000026297	dex	untrt	0.343367063593875	0.0591901999444161	0.00115033008786061	0.0419870482069122	CPLM	1.99	8	8	0
ENSG00000065809	dex	untrt	0.727124338985717	0.127341265856932	0.00124877463006364	0.0438921157011258	CPLM	1.99	8	8	0
ENSG00000006607	dex	untrt	-0.384061720074919	0.0678311029060814	0.00130455187779309	0.0442149904294872	CPLM	1.01	8	8	0
ENSG00000049759	dex	untrt	0.721949488198571	0.128408672825084	0.00135288463738927	0.0442719834787039	CPLM	1.01	8	8	0
ENSG00000041515	dex	untrt	-1.17205748594318	0.210867257109957	0.00143506948204299	0.0453960312819601	CPLM	1.204	8	8	0
ENSG00000051620	dex	untrt	-0.248116443964137	0.045118526257424	0.00151597812870418	0.0464084917464604	CPLM	1.01	8	8	0
